Date,Open,High,Low,Close
2020-04-08,128.7524,129.8808,128.0609,129.1945
2020-04-09,128.9959,133.4509,127.7289,127.8157
2020-04-13,128.5385,128.8228,127.4607,127.9353
2020-04-14,127.9425,128.183,125.8348,126.0124
2020-04-15,124.5212,124.8467,123.0199,123.6277
2020-04-16,125.0732,125.0838,122.711,123.6288
2020-04-17,124.2846,124.994,123.3944,123.7962
2020-04-20,120.7152,121.8047,118.6907,118.7621
2020-04-21,112.0796,112.2836,101.4824,106.2929
2020-04-22,106.9483,113.413,106.4197,111.1093
2020-04-23,113.8874,117.1692,112.7301,113.4902
2020-04-24,114.0968,114.3538,111.6238,112.7549
2020-04-27,109.5578,109.6161,106.6927,107.9998
2020-04-28,106.7085,110.1145,106.2198,108.206
2020-04-29,111.0371,114.0133,110.7392,111.8666
2020-04-30,115.5055,117.5221,113.8646,117.1958
2020-05-01,116.2155,118.3329,116.2155,117.6273
2020-05-04,116.1559,118.7206,116.1546,118.5243
2020-05-05,121.281,123.7085,121.141,123.6425
2020-05-06,123.6582,123.7021,120.3766,121.5431
2020-05-07,123.9298,124.6722,122.492,122.5837
2020-05-08,123.0025,124.8182,122.9761,124.7397
2020-05-11,123.7551,125.2284,122.499,122.674
2020-05-12,123.3177,123.4669,121.9617,122.6289
2020-05-13,122.3276,122.7278,120.1439,120.629
2020-05-14,121.5635,123.4737,121.0572,123.1248
2020-05-15,124.0885,124.9707,123.5996,124.7466
2020-05-18,128.4695,130.3081,128.1675,129.0861
2020-05-19,129.7583,130.3305,128.8389,129.574
2020-05-20,130.5153,132.0113,130.1584,130.9107
2020-05-21,131.3289,131.9564,129.7232,130.5163
2020-05-22,127.8857,129.73,127.7956,129.5329
2020-05-26,131.2146,132.4754,130.2332,131.6208
2020-05-27,131.0007,131.0575,128.2655,129.1643
2020-05-28,128.6459,130.6176,128.3959,129.7593
2020-05-29,129.0714,132.4889,128.0649,132.2442
2020-06-01,131.8644,132.4262,130.2504,132.3468
2020-06-02,133.7692,134.2174,133.0965,134.1152
2020-06-03,133.2979,135.026,133.1307,135.0094
2020-06-04,134.4349,135.9075,134.1292,135.7464
2020-06-05,137.2693,139.0886,137.2646,138.9763
2020-06-08,138.7756,139.1366,137.1867,137.5026
2020-06-09,137.2327,138.5224,136.8343,138.4529
2020-06-10,137.2641,139.5424,137.2641,139.222
2020-06-11,137.1416,137.1416,133.7757,134.8994
2020-06-12,135.1505,136.1592,133.9386,134.3208
2020-06-15,132.7936,134.9127,131.5185,134.7793
2020-06-16,136.2987,137.2875,134.7297,136.2721
2020-06-17,135.2501,136.5737,135.067,136.3841
2020-06-18,136.6726,137.2206,135.6779,137.0559
2020-06-19,138.3969,139.1819,136.626,137.9738
2020-06-22,137.7313,139.0959,137.449,139.0501
2020-06-23,139.745,140.0481,138.2376,138.5909
2020-06-24,137.6487,138.4375,134.8763,135.2437
2020-06-25,134.4067,135.6975,133.7026,135.3685
2020-06-26,135.5322,135.5499,133.5315,134.4133
2020-06-29,134.9858,137.3071,134.8428,137.0377
2020-06-30,137.0377,138.7812,136.8063,137.9715
2020-07-01,138.9588,139.3267,137.5998,139.1401
2020-07-02,139.6444,140.6666,139.2386,140.5978
2020-07-06,141.1952,141.3148,140.3563,140.8977
2020-07-07,140.441,141.9988,140.4037,141.5618
2020-07-08,141.429,142.1157,141.1866,141.9592
2020-07-09,142.4758,142.6029,140.3871,140.4571
2020-07-10,139.8739,141.7101,139.545,141.5191
2020-07-13,140.4904,141.3822,140.4904,140.6755
2020-07-14,139.6289,140.6881,138.6438,139.9903
2020-07-15,140.8954,141.2621,139.643,141.2194
2020-07-16,140.9523,141.4754,140.5807,140.8156
2020-07-17,140.748,141.3557,140.1498,140.8271
2020-07-20,140.2836,140.8756,139.1493,140.6907
2020-07-21,142.3915,143.0874,142.1188,142.5041
2020-07-22,141.9102,143.4263,141.7416,143.3159
2020-07-23,143.0925,143.9583,142.7152,142.9395
2020-07-24,142.7997,143.0697,142.1459,143.0454
2020-07-27,143.6309,144.2195,142.5421,143.8235
2020-07-28,143.5317,143.6757,142.9413,143.4783
2020-07-29,144.0039,144.4363,143.7485,144.339
